Name	rgb1	rgb2	rgb3	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
'singles-BM0828-HSC-fresh-151027-79'	0	0.266666667	0.105882353	1.4564345	2.494706389	1.705508723	-0.916726269	-1.346364283	0.300423009	0.143274618	-0.136979132	0.271889728	0.052334245
'singles-BM0828-HSC-fresh-151027-80'	0	0.266666667	0.105882353	2.965297902	1.708572741	1.089193075	-0.545754505	-0.261049398	0.367450473	-0.127779156	-0.107765867	0.111096901	-0.01756694
'singles-BM0828-HSC-fresh-151027-81'	0	0.266666667	0.105882353	2.190386526	2.383171964	1.894345069	-0.470785228	-0.886874675	0.078958984	0.006945908	0.071200063	0.10930526	0.12916907
'singles-BM0828-HSC-fresh-151027-82'	0	0.266666667	0.105882353	2.483666273	2.173374061	2.022855682	-0.17199148	-0.81284373	-0.077352776	0.161878971	-0.173857267	0.05719859	0.002380826
'singles-BM0828-HSC-fresh-151027-83'	0	0.266666667	0.105882353	1.900254111	2.565821003	1.067253129	-0.301163245	-0.317039117	0.730094226	0.332226934	0.12776692	-0.095527214	0.058432711
'singles-BM0828-HSC-fresh-151027-85'	0	0.266666667	0.105882353	2.520594087	2.112558557	1.351923606	-0.487934751	-0.516069161	0.438580663	0.278717642	0.237368674	-0.144225356	0.019485003
'singles-BM0828-HSC-fresh-151027-86'	0	0.266666667	0.105882353	1.930423951	2.32657382	0.928298416	-0.77056728	-0.232083868	0.677891195	0.022729419	0.118921365	0.287605355	-0.006967202
'singles-BM0828-HSC-fresh-151027-87'	0	0.266666667	0.105882353	2.350762909	1.759948269	1.869308303	-0.651733416	-0.817669741	0.234832436	0.217671951	0.246840358	-0.229563812	-0.001743494
'singles-BM0828-HSC-fresh-151027-88'	0	0.266666667	0.105882353	1.778792734	2.67864185	1.828995175	-0.281633422	-0.775636118	0.263979334	0.124467339	-0.188970436	0.152475839	-0.033641864
'singles-BM0828-HSC-fresh-151027-89'	0	0.266666667	0.105882353	1.888255119	2.120752908	1.826505855	-0.842081835	-0.951308374	0.306294658	0.116194999	0.344977502	-0.1558255	0.007799265
'singles-BM0828-HSC-fresh-151027-90'	0	0.266666667	0.105882353	2.056208234	2.134656436	2.182277007	-0.627903817	-1.036079634	-0.200868974	-0.163861296	0.214790692	0.111479051	-0.001503225
'singles-BM0828-HSC-fresh-151027-92'	0	0.266666667	0.105882353	1.855748203	1.79913796	1.972611117	-0.858104728	-1.029121302	0.307784899	0.288119015	0.342205588	-0.21622012	0.016296726
'singles-BM0828-HSC-fresh-151027-95'	0	0.266666667	0.105882353	3.018408917	0.895361507	2.141232855	-0.504164402	-0.872888545	-0.398279898	-0.094071116	0.043803506	-0.15116119	0.035783804
'singles-BM0828-HSC-fresh-151027-96'	0	0.266666667	0.105882353	1.222583003	3.115774722	-0.062304708	0.062518693	0.064612782	0.768942363	0.106518924	-0.153847792	0.351571109	0.1676009
'singles-BM0828-MPP-frozen-151103-2'	0.274509804	0.62745098	0.250980392	2.829037161	2.438684939	1.756672393	-0.112133226	-0.880186261	0.102676731	0.282613752	-0.346403272	0.090518295	-0.150453644
'singles-BM0828-MPP-frozen-151103-3'	0.274509804	0.62745098	0.250980392	2.47561642	1.802062498	1.76127415	-0.585280908	-0.423376555	0.593930708	0.069558828	0.340865507	-0.022785102	0.048771077
'singles-BM0828-MPP-frozen-151103-4'	0.274509804	0.62745098	0.250980392	2.783832393	2.175207728	2.119959438	-0.261731463	-0.822375315	0.244479859	0.307432789	-0.108193208	-0.041006851	-0.03060175
'singles-BM0828-MPP-frozen-151103-5'	0.274509804	0.62745098	0.250980392	4.361415461	1.623560498	0.787207762	0.333364882	-0.125042591	-0.091362194	0.161226314	-0.012836461	-0.144214918	0.041528067
